accs,training_times,plane,car,bird,cat,deer,dog,frog,horse,ship,truck,epochs_trained
0.1006,0.8681256771087646,145.0,31.0,97.0,496.0,1096.0,307.0,2382.0,9.0,373.0,63.0,0
0.1314,4.390344619750977,145.0,31.0,97.0,496.0,1096.0,307.0,2382.0,9.0,373.0,63.0,5
0.1787,4.370252847671509,145.0,31.0,97.0,496.0,1096.0,307.0,2382.0,9.0,373.0,63.0,10
0.2051,4.35526967048645,145.0,31.0,97.0,496.0,1096.0,307.0,2382.0,9.0,373.0,63.0,15
0.203,4.387133359909058,145.0,31.0,97.0,496.0,1096.0,307.0,2382.0,9.0,373.0,63.0,20
0.2506,4.299766778945923,145.0,31.0,97.0,496.0,1096.0,307.0,2382.0,9.0,373.0,63.0,25
0.2437,4.289540529251099,145.0,31.0,97.0,496.0,1096.0,307.0,2382.0,9.0,373.0,63.0,30
0.255,4.428069591522217,145.0,31.0,97.0,496.0,1096.0,307.0,2382.0,9.0,373.0,63.0,35
0.2901,4.333303451538086,145.0,31.0,97.0,496.0,1096.0,307.0,2382.0,9.0,373.0,63.0,40
0.2822,4.334038972854614,145.0,31.0,97.0,496.0,1096.0,307.0,2382.0,9.0,373.0,63.0,45
0.2983,4.3338401317596436,145.0,31.0,97.0,496.0,1096.0,307.0,2382.0,9.0,373.0,63.0,50
0.2961,4.348165273666382,145.0,31.0,97.0,496.0,1096.0,307.0,2382.0,9.0,373.0,63.0,55
0.2954,4.317546129226685,145.0,31.0,97.0,496.0,1096.0,307.0,2382.0,9.0,373.0,63.0,60
0.3265,4.375008821487427,145.0,31.0,97.0,496.0,1096.0,307.0,2382.0,9.0,373.0,63.0,65
0.3029,4.353947401046753,145.0,31.0,97.0,496.0,1096.0,307.0,2382.0,9.0,373.0,63.0,70
0.3072,4.340130567550659,145.0,31.0,97.0,496.0,1096.0,307.0,2382.0,9.0,373.0,63.0,75
0.3191,4.4281980991363525,145.0,31.0,97.0,496.0,1096.0,307.0,2382.0,9.0,373.0,63.0,80
0.3142,4.379147529602051,145.0,31.0,97.0,496.0,1096.0,307.0,2382.0,9.0,373.0,63.0,85
0.3238,4.299474239349365,145.0,31.0,97.0,496.0,1096.0,307.0,2382.0,9.0,373.0,63.0,90
0.3255,4.365742444992065,145.0,31.0,97.0,496.0,1096.0,307.0,2382.0,9.0,373.0,63.0,95
0.3353,4.339369773864746,145.0,31.0,97.0,496.0,1096.0,307.0,2382.0,9.0,373.0,63.0,100
0.3362,4.399816513061523,145.0,31.0,97.0,496.0,1096.0,307.0,2382.0,9.0,373.0,63.0,105
0.3363,4.4737019538879395,145.0,31.0,97.0,496.0,1096.0,307.0,2382.0,9.0,373.0,63.0,110
0.3329,4.282931089401245,145.0,31.0,97.0,496.0,1096.0,307.0,2382.0,9.0,373.0,63.0,115
0.3327,4.368183851242065,145.0,31.0,97.0,496.0,1096.0,307.0,2382.0,9.0,373.0,63.0,120
0.3337,4.369296073913574,145.0,31.0,97.0,496.0,1096.0,307.0,2382.0,9.0,373.0,63.0,125
0.3363,4.282953500747681,145.0,31.0,97.0,496.0,1096.0,307.0,2382.0,9.0,373.0,63.0,130
0.3346,4.3470213413238525,145.0,31.0,97.0,496.0,1096.0,307.0,2382.0,9.0,373.0,63.0,135
0.337,4.463344097137451,145.0,31.0,97.0,496.0,1096.0,307.0,2382.0,9.0,373.0,63.0,140
0.3335,4.39029598236084,145.0,31.0,97.0,496.0,1096.0,307.0,2382.0,9.0,373.0,63.0,145
0.3368,4.32118821144104,145.0,31.0,97.0,496.0,1096.0,307.0,2382.0,9.0,373.0,63.0,150
0.3368,4.38194465637207,145.0,31.0,97.0,496.0,1096.0,307.0,2382.0,9.0,373.0,63.0,155
0.3368,4.348515510559082,145.0,31.0,97.0,496.0,1096.0,307.0,2382.0,9.0,373.0,63.0,160
0.3355,4.374950170516968,145.0,31.0,97.0,496.0,1096.0,307.0,2382.0,9.0,373.0,63.0,165
0.3355,4.355790138244629,145.0,31.0,97.0,496.0,1096.0,307.0,2382.0,9.0,373.0,63.0,170
0.3352,4.389684438705444,145.0,31.0,97.0,496.0,1096.0,307.0,2382.0,9.0,373.0,63.0,175
0.3349,4.349509954452515,145.0,31.0,97.0,496.0,1096.0,307.0,2382.0,9.0,373.0,63.0,180
0.3344,4.3635547161102295,145.0,31.0,97.0,496.0,1096.0,307.0,2382.0,9.0,373.0,63.0,185
0.3345,4.361001491546631,145.0,31.0,97.0,496.0,1096.0,307.0,2382.0,9.0,373.0,63.0,190
0.3341,4.373731374740601,145.0,31.0,97.0,496.0,1096.0,307.0,2382.0,9.0,373.0,63.0,195
0.1249,0.8519530296325684,437.0,103.0,189.0,745.0,1680.0,784.0,604.0,50.0,389.0,18.0,0
0.2121,4.358988046646118,437.0,103.0,189.0,745.0,1680.0,784.0,604.0,50.0,389.0,18.0,5
0.233,4.53416633605957,437.0,103.0,189.0,745.0,1680.0,784.0,604.0,50.0,389.0,18.0,10
0.3003,4.394583463668823,437.0,103.0,189.0,745.0,1680.0,784.0,604.0,50.0,389.0,18.0,15
0.3059,4.367314577102661,437.0,103.0,189.0,745.0,1680.0,784.0,604.0,50.0,389.0,18.0,20
0.331,4.417261600494385,437.0,103.0,189.0,745.0,1680.0,784.0,604.0,50.0,389.0,18.0,25
0.3456,4.413602352142334,437.0,103.0,189.0,745.0,1680.0,784.0,604.0,50.0,389.0,18.0,30
0.3832,4.317039489746094,437.0,103.0,189.0,745.0,1680.0,784.0,604.0,50.0,389.0,18.0,35
0.3684,4.3578455448150635,437.0,103.0,189.0,745.0,1680.0,784.0,604.0,50.0,389.0,18.0,40
0.3984,4.438447952270508,437.0,103.0,189.0,745.0,1680.0,784.0,604.0,50.0,389.0,18.0,45
0.406,4.34972357749939,437.0,103.0,189.0,745.0,1680.0,784.0,604.0,50.0,389.0,18.0,50
0.3912,4.441368818283081,437.0,103.0,189.0,745.0,1680.0,784.0,604.0,50.0,389.0,18.0,55
0.3273,4.465956926345825,437.0,103.0,189.0,745.0,1680.0,784.0,604.0,50.0,389.0,18.0,60
0.378,4.494442701339722,437.0,103.0,189.0,745.0,1680.0,784.0,604.0,50.0,389.0,18.0,65
0.4158,4.370094299316406,437.0,103.0,189.0,745.0,1680.0,784.0,604.0,50.0,389.0,18.0,70
0.4226,4.373829126358032,437.0,103.0,189.0,745.0,1680.0,784.0,604.0,50.0,389.0,18.0,75
0.4431,4.446084022521973,437.0,103.0,189.0,745.0,1680.0,784.0,604.0,50.0,389.0,18.0,80
0.4181,4.405047416687012,437.0,103.0,189.0,745.0,1680.0,784.0,604.0,50.0,389.0,18.0,85
0.4299,4.3900368213653564,437.0,103.0,189.0,745.0,1680.0,784.0,604.0,50.0,389.0,18.0,90
0.4254,4.470250606536865,437.0,103.0,189.0,745.0,1680.0,784.0,604.0,50.0,389.0,18.0,95
0.4408,4.301369905471802,437.0,103.0,189.0,745.0,1680.0,784.0,604.0,50.0,389.0,18.0,100
0.4403,4.3789403438568115,437.0,103.0,189.0,745.0,1680.0,784.0,604.0,50.0,389.0,18.0,105
0.4363,4.406595230102539,437.0,103.0,189.0,745.0,1680.0,784.0,604.0,50.0,389.0,18.0,110
0.4379,4.361604690551758,437.0,103.0,189.0,745.0,1680.0,784.0,604.0,50.0,389.0,18.0,115
0.4339,4.412723779678345,437.0,103.0,189.0,745.0,1680.0,784.0,604.0,50.0,389.0,18.0,120
0.4343,4.400982618331909,437.0,103.0,189.0,745.0,1680.0,784.0,604.0,50.0,389.0,18.0,125
0.432,4.345536947250366,437.0,103.0,189.0,745.0,1680.0,784.0,604.0,50.0,389.0,18.0,130
0.433,4.370323896408081,437.0,103.0,189.0,745.0,1680.0,784.0,604.0,50.0,389.0,18.0,135
0.4334,4.432006597518921,437.0,103.0,189.0,745.0,1680.0,784.0,604.0,50.0,389.0,18.0,140
0.4351,4.375311374664307,437.0,103.0,189.0,745.0,1680.0,784.0,604.0,50.0,389.0,18.0,145
0.4369,4.4510602951049805,437.0,103.0,189.0,745.0,1680.0,784.0,604.0,50.0,389.0,18.0,150
0.4353,4.33970308303833,437.0,103.0,189.0,745.0,1680.0,784.0,604.0,50.0,389.0,18.0,155
0.435,4.432707786560059,437.0,103.0,189.0,745.0,1680.0,784.0,604.0,50.0,389.0,18.0,160
0.4346,4.365241289138794,437.0,103.0,189.0,745.0,1680.0,784.0,604.0,50.0,389.0,18.0,165
0.4348,4.446010112762451,437.0,103.0,189.0,745.0,1680.0,784.0,604.0,50.0,389.0,18.0,170
0.434,4.409621715545654,437.0,103.0,189.0,745.0,1680.0,784.0,604.0,50.0,389.0,18.0,175
0.434,4.464894771575928,437.0,103.0,189.0,745.0,1680.0,784.0,604.0,50.0,389.0,18.0,180
0.4329,4.324599742889404,437.0,103.0,189.0,745.0,1680.0,784.0,604.0,50.0,389.0,18.0,185
0.432,4.34269118309021,437.0,103.0,189.0,745.0,1680.0,784.0,604.0,50.0,389.0,18.0,190
0.4317,4.302897930145264,437.0,103.0,189.0,745.0,1680.0,784.0,604.0,50.0,389.0,18.0,195
0.1528,0.8598573207855225,15.0,133.0,1458.0,1182.0,37.0,146.0,978.0,29.0,940.0,82.0,0
0.2299,4.4344642162323,15.0,133.0,1458.0,1182.0,37.0,146.0,978.0,29.0,940.0,82.0,5
0.2608,4.351343631744385,15.0,133.0,1458.0,1182.0,37.0,146.0,978.0,29.0,940.0,82.0,10
0.2816,4.381145238876343,15.0,133.0,1458.0,1182.0,37.0,146.0,978.0,29.0,940.0,82.0,15
0.2915,4.354602813720703,15.0,133.0,1458.0,1182.0,37.0,146.0,978.0,29.0,940.0,82.0,20
0.3236,4.3297951221466064,15.0,133.0,1458.0,1182.0,37.0,146.0,978.0,29.0,940.0,82.0,25
0.3321,4.382842063903809,15.0,133.0,1458.0,1182.0,37.0,146.0,978.0,29.0,940.0,82.0,30
0.3432,4.4125120639801025,15.0,133.0,1458.0,1182.0,37.0,146.0,978.0,29.0,940.0,82.0,35
0.3511,4.3850319385528564,15.0,133.0,1458.0,1182.0,37.0,146.0,978.0,29.0,940.0,82.0,40
0.3607,4.321049213409424,15.0,133.0,1458.0,1182.0,37.0,146.0,978.0,29.0,940.0,82.0,45
0.3628,4.346434116363525,15.0,133.0,1458.0,1182.0,37.0,146.0,978.0,29.0,940.0,82.0,50
0.3687,4.429909706115723,15.0,133.0,1458.0,1182.0,37.0,146.0,978.0,29.0,940.0,82.0,55
0.3823,4.35395622253418,15.0,133.0,1458.0,1182.0,37.0,146.0,978.0,29.0,940.0,82.0,60
0.3703,4.33458399772644,15.0,133.0,1458.0,1182.0,37.0,146.0,978.0,29.0,940.0,82.0,65
0.3594,4.409291744232178,15.0,133.0,1458.0,1182.0,37.0,146.0,978.0,29.0,940.0,82.0,70
0.3837,4.422216415405273,15.0,133.0,1458.0,1182.0,37.0,146.0,978.0,29.0,940.0,82.0,75
0.3897,4.387694358825684,15.0,133.0,1458.0,1182.0,37.0,146.0,978.0,29.0,940.0,82.0,80
0.3836,4.467644929885864,15.0,133.0,1458.0,1182.0,37.0,146.0,978.0,29.0,940.0,82.0,85
0.38,4.410826921463013,15.0,133.0,1458.0,1182.0,37.0,146.0,978.0,29.0,940.0,82.0,90
0.3875,4.375995635986328,15.0,133.0,1458.0,1182.0,37.0,146.0,978.0,29.0,940.0,82.0,95
0.3899,4.393370151519775,15.0,133.0,1458.0,1182.0,37.0,146.0,978.0,29.0,940.0,82.0,100
0.3912,4.4128098487854,15.0,133.0,1458.0,1182.0,37.0,146.0,978.0,29.0,940.0,82.0,105
0.3896,4.388091564178467,15.0,133.0,1458.0,1182.0,37.0,146.0,978.0,29.0,940.0,82.0,110
0.3907,4.333175420761108,15.0,133.0,1458.0,1182.0,37.0,146.0,978.0,29.0,940.0,82.0,115
0.3907,4.379522800445557,15.0,133.0,1458.0,1182.0,37.0,146.0,978.0,29.0,940.0,82.0,120
0.3923,4.354569911956787,15.0,133.0,1458.0,1182.0,37.0,146.0,978.0,29.0,940.0,82.0,125
0.3906,4.396562099456787,15.0,133.0,1458.0,1182.0,37.0,146.0,978.0,29.0,940.0,82.0,130
0.392,4.389868259429932,15.0,133.0,1458.0,1182.0,37.0,146.0,978.0,29.0,940.0,82.0,135
0.3919,4.380458831787109,15.0,133.0,1458.0,1182.0,37.0,146.0,978.0,29.0,940.0,82.0,140
0.3926,4.420799493789673,15.0,133.0,1458.0,1182.0,37.0,146.0,978.0,29.0,940.0,82.0,145
0.3905,4.300010919570923,15.0,133.0,1458.0,1182.0,37.0,146.0,978.0,29.0,940.0,82.0,150
0.391,4.331082105636597,15.0,133.0,1458.0,1182.0,37.0,146.0,978.0,29.0,940.0,82.0,155
0.3917,4.434768438339233,15.0,133.0,1458.0,1182.0,37.0,146.0,978.0,29.0,940.0,82.0,160
0.3915,4.4108521938323975,15.0,133.0,1458.0,1182.0,37.0,146.0,978.0,29.0,940.0,82.0,165
0.3918,4.377924203872681,15.0,133.0,1458.0,1182.0,37.0,146.0,978.0,29.0,940.0,82.0,170
0.3913,4.41744065284729,15.0,133.0,1458.0,1182.0,37.0,146.0,978.0,29.0,940.0,82.0,175
0.3915,4.327759027481079,15.0,133.0,1458.0,1182.0,37.0,146.0,978.0,29.0,940.0,82.0,180
0.3916,4.325712442398071,15.0,133.0,1458.0,1182.0,37.0,146.0,978.0,29.0,940.0,82.0,185
0.3917,4.439138174057007,15.0,133.0,1458.0,1182.0,37.0,146.0,978.0,29.0,940.0,82.0,190
0.3918,4.388621807098389,15.0,133.0,1458.0,1182.0,37.0,146.0,978.0,29.0,940.0,82.0,195
0.1334,0.8661377429962158,679.0,531.0,15.0,289.0,10.0,316.0,1450.0,169.0,313.0,1228.0,0
0.2546,4.386872053146362,679.0,531.0,15.0,289.0,10.0,316.0,1450.0,169.0,313.0,1228.0,5
0.302,4.42168927192688,679.0,531.0,15.0,289.0,10.0,316.0,1450.0,169.0,313.0,1228.0,10
0.333,4.3677544593811035,679.0,531.0,15.0,289.0,10.0,316.0,1450.0,169.0,313.0,1228.0,15
0.3734,4.415020704269409,679.0,531.0,15.0,289.0,10.0,316.0,1450.0,169.0,313.0,1228.0,20
0.4142,4.351329565048218,679.0,531.0,15.0,289.0,10.0,316.0,1450.0,169.0,313.0,1228.0,25
0.4155,4.36484956741333,679.0,531.0,15.0,289.0,10.0,316.0,1450.0,169.0,313.0,1228.0,30
0.4305,4.392306089401245,679.0,531.0,15.0,289.0,10.0,316.0,1450.0,169.0,313.0,1228.0,35
0.4443,4.413881063461304,679.0,531.0,15.0,289.0,10.0,316.0,1450.0,169.0,313.0,1228.0,40
0.4402,4.384246110916138,679.0,531.0,15.0,289.0,10.0,316.0,1450.0,169.0,313.0,1228.0,45
0.4592,4.437448978424072,679.0,531.0,15.0,289.0,10.0,316.0,1450.0,169.0,313.0,1228.0,50
0.4465,4.420285224914551,679.0,531.0,15.0,289.0,10.0,316.0,1450.0,169.0,313.0,1228.0,55
0.4694,4.3887903690338135,679.0,531.0,15.0,289.0,10.0,316.0,1450.0,169.0,313.0,1228.0,60
0.4577,4.383044242858887,679.0,531.0,15.0,289.0,10.0,316.0,1450.0,169.0,313.0,1228.0,65
0.4717,4.466296434402466,679.0,531.0,15.0,289.0,10.0,316.0,1450.0,169.0,313.0,1228.0,70
0.4589,4.31785774230957,679.0,531.0,15.0,289.0,10.0,316.0,1450.0,169.0,313.0,1228.0,75
0.4749,4.407838344573975,679.0,531.0,15.0,289.0,10.0,316.0,1450.0,169.0,313.0,1228.0,80
0.4723,4.341182231903076,679.0,531.0,15.0,289.0,10.0,316.0,1450.0,169.0,313.0,1228.0,85
0.474,4.399020433425903,679.0,531.0,15.0,289.0,10.0,316.0,1450.0,169.0,313.0,1228.0,90
0.4593,4.373006105422974,679.0,531.0,15.0,289.0,10.0,316.0,1450.0,169.0,313.0,1228.0,95
0.471,4.392881155014038,679.0,531.0,15.0,289.0,10.0,316.0,1450.0,169.0,313.0,1228.0,100
0.4808,4.409009218215942,679.0,531.0,15.0,289.0,10.0,316.0,1450.0,169.0,313.0,1228.0,105
0.4791,4.362292528152466,679.0,531.0,15.0,289.0,10.0,316.0,1450.0,169.0,313.0,1228.0,110
