accs,training_times,plane,car,bird,cat,deer,dog,frog,horse,ship,truck,epochs_trained
0.0968,0.9860475063323975,192.0,695.0,367.0,522.0,196.0,297.0,122.0,2239.0,219.0,152.0,0
0.1875,4.795722961425781,192.0,695.0,367.0,522.0,196.0,297.0,122.0,2239.0,219.0,152.0,5
0.2441,4.815800666809082,192.0,695.0,367.0,522.0,196.0,297.0,122.0,2239.0,219.0,152.0,10
0.3081,4.788509845733643,192.0,695.0,367.0,522.0,196.0,297.0,122.0,2239.0,219.0,152.0,15
0.295,4.731255054473877,192.0,695.0,367.0,522.0,196.0,297.0,122.0,2239.0,219.0,152.0,20
0.3416,4.771653890609741,192.0,695.0,367.0,522.0,196.0,297.0,122.0,2239.0,219.0,152.0,25
0.3732,4.696645259857178,192.0,695.0,367.0,522.0,196.0,297.0,122.0,2239.0,219.0,152.0,30
0.3753,4.758490800857544,192.0,695.0,367.0,522.0,196.0,297.0,122.0,2239.0,219.0,152.0,35
0.3886,4.806746006011963,192.0,695.0,367.0,522.0,196.0,297.0,122.0,2239.0,219.0,152.0,40
0.4051,4.784010648727417,192.0,695.0,367.0,522.0,196.0,297.0,122.0,2239.0,219.0,152.0,45
0.4208,4.909836530685425,192.0,695.0,367.0,522.0,196.0,297.0,122.0,2239.0,219.0,152.0,50
0.4175,4.741813659667969,192.0,695.0,367.0,522.0,196.0,297.0,122.0,2239.0,219.0,152.0,55
0.4295,4.822741508483887,192.0,695.0,367.0,522.0,196.0,297.0,122.0,2239.0,219.0,152.0,60
0.4004,4.7735655307769775,192.0,695.0,367.0,522.0,196.0,297.0,122.0,2239.0,219.0,152.0,65
0.4122,4.767563343048096,192.0,695.0,367.0,522.0,196.0,297.0,122.0,2239.0,219.0,152.0,70
0.4028,4.787215232849121,192.0,695.0,367.0,522.0,196.0,297.0,122.0,2239.0,219.0,152.0,75
0.4264,4.740057945251465,192.0,695.0,367.0,522.0,196.0,297.0,122.0,2239.0,219.0,152.0,80
0.4341,4.797748327255249,192.0,695.0,367.0,522.0,196.0,297.0,122.0,2239.0,219.0,152.0,85
0.4359,4.81951117515564,192.0,695.0,367.0,522.0,196.0,297.0,122.0,2239.0,219.0,152.0,90
0.414,4.794308662414551,192.0,695.0,367.0,522.0,196.0,297.0,122.0,2239.0,219.0,152.0,95
0.4322,4.8215742111206055,192.0,695.0,367.0,522.0,196.0,297.0,122.0,2239.0,219.0,152.0,100
0.4327,4.77783989906311,192.0,695.0,367.0,522.0,196.0,297.0,122.0,2239.0,219.0,152.0,105
0.4344,4.781592845916748,192.0,695.0,367.0,522.0,196.0,297.0,122.0,2239.0,219.0,152.0,110
0.4382,4.756929874420166,192.0,695.0,367.0,522.0,196.0,297.0,122.0,2239.0,219.0,152.0,115
0.4323,4.693068027496338,192.0,695.0,367.0,522.0,196.0,297.0,122.0,2239.0,219.0,152.0,120
0.4379,4.752605438232422,192.0,695.0,367.0,522.0,196.0,297.0,122.0,2239.0,219.0,152.0,125
0.4332,4.808700799942017,192.0,695.0,367.0,522.0,196.0,297.0,122.0,2239.0,219.0,152.0,130
0.439,4.783643007278442,192.0,695.0,367.0,522.0,196.0,297.0,122.0,2239.0,219.0,152.0,135
0.4351,4.745270490646362,192.0,695.0,367.0,522.0,196.0,297.0,122.0,2239.0,219.0,152.0,140
0.4369,4.724863529205322,192.0,695.0,367.0,522.0,196.0,297.0,122.0,2239.0,219.0,152.0,145
0.4384,4.847818613052368,192.0,695.0,367.0,522.0,196.0,297.0,122.0,2239.0,219.0,152.0,150
0.4392,4.816134214401245,192.0,695.0,367.0,522.0,196.0,297.0,122.0,2239.0,219.0,152.0,155
0.4398,4.679892063140869,192.0,695.0,367.0,522.0,196.0,297.0,122.0,2239.0,219.0,152.0,160
0.4398,4.741264820098877,192.0,695.0,367.0,522.0,196.0,297.0,122.0,2239.0,219.0,152.0,165
0.4397,4.771074295043945,192.0,695.0,367.0,522.0,196.0,297.0,122.0,2239.0,219.0,152.0,170
0.4389,4.819577217102051,192.0,695.0,367.0,522.0,196.0,297.0,122.0,2239.0,219.0,152.0,175
0.4387,4.816975116729736,192.0,695.0,367.0,522.0,196.0,297.0,122.0,2239.0,219.0,152.0,180
0.4392,4.73180079460144,192.0,695.0,367.0,522.0,196.0,297.0,122.0,2239.0,219.0,152.0,185
0.4393,4.799741983413696,192.0,695.0,367.0,522.0,196.0,297.0,122.0,2239.0,219.0,152.0,190
0.4389,4.786028861999512,192.0,695.0,367.0,522.0,196.0,297.0,122.0,2239.0,219.0,152.0,195
0.1361,0.9478724002838135,192.0,695.0,367.0,522.0,196.0,297.0,122.0,2239.0,219.0,152.0,0
0.1981,4.841825008392334,192.0,695.0,367.0,522.0,196.0,297.0,122.0,2239.0,219.0,152.0,5
0.2798,4.801117658615112,192.0,695.0,367.0,522.0,196.0,297.0,122.0,2239.0,219.0,152.0,10
0.3055,4.818850755691528,192.0,695.0,367.0,522.0,196.0,297.0,122.0,2239.0,219.0,152.0,15
0.3838,4.862984657287598,192.0,695.0,367.0,522.0,196.0,297.0,122.0,2239.0,219.0,152.0,20
0.3302,4.913223028182983,192.0,695.0,367.0,522.0,196.0,297.0,122.0,2239.0,219.0,152.0,25
0.3654,4.784526109695435,192.0,695.0,367.0,522.0,196.0,297.0,122.0,2239.0,219.0,152.0,30
0.3825,4.694377422332764,192.0,695.0,367.0,522.0,196.0,297.0,122.0,2239.0,219.0,152.0,35
0.3857,4.789978981018066,192.0,695.0,367.0,522.0,196.0,297.0,122.0,2239.0,219.0,152.0,40
0.4246,4.726818799972534,192.0,695.0,367.0,522.0,196.0,297.0,122.0,2239.0,219.0,152.0,45
0.4167,4.7329421043396,192.0,695.0,367.0,522.0,196.0,297.0,122.0,2239.0,219.0,152.0,50
0.3879,4.7269368171691895,192.0,695.0,367.0,522.0,196.0,297.0,122.0,2239.0,219.0,152.0,55
0.4244,4.749934196472168,192.0,695.0,367.0,522.0,196.0,297.0,122.0,2239.0,219.0,152.0,60
0.4264,4.814066410064697,192.0,695.0,367.0,522.0,196.0,297.0,122.0,2239.0,219.0,152.0,65
0.4049,4.877260446548462,192.0,695.0,367.0,522.0,196.0,297.0,122.0,2239.0,219.0,152.0,70
0.4188,4.751189708709717,192.0,695.0,367.0,522.0,196.0,297.0,122.0,2239.0,219.0,152.0,75
0.4299,4.7807183265686035,192.0,695.0,367.0,522.0,196.0,297.0,122.0,2239.0,219.0,152.0,80
0.427,4.863032579421997,192.0,695.0,367.0,522.0,196.0,297.0,122.0,2239.0,219.0,152.0,85
0.4369,4.819394111633301,192.0,695.0,367.0,522.0,196.0,297.0,122.0,2239.0,219.0,152.0,90
0.4209,4.637918710708618,192.0,695.0,367.0,522.0,196.0,297.0,122.0,2239.0,219.0,152.0,95
0.4304,4.699259281158447,192.0,695.0,367.0,522.0,196.0,297.0,122.0,2239.0,219.0,152.0,100
0.4435,4.782267093658447,192.0,695.0,367.0,522.0,196.0,297.0,122.0,2239.0,219.0,152.0,105
0.4402,4.849300146102905,192.0,695.0,367.0,522.0,196.0,297.0,122.0,2239.0,219.0,152.0,110
0.4398,4.857412815093994,192.0,695.0,367.0,522.0,196.0,297.0,122.0,2239.0,219.0,152.0,115
0.4417,4.859358787536621,192.0,695.0,367.0,522.0,196.0,297.0,122.0,2239.0,219.0,152.0,120
0.4368,4.736082553863525,192.0,695.0,367.0,522.0,196.0,297.0,122.0,2239.0,219.0,152.0,125
0.4411,4.7117791175842285,192.0,695.0,367.0,522.0,196.0,297.0,122.0,2239.0,219.0,152.0,130
0.4415,4.790064334869385,192.0,695.0,367.0,522.0,196.0,297.0,122.0,2239.0,219.0,152.0,135
0.4379,4.81190824508667,192.0,695.0,367.0,522.0,196.0,297.0,122.0,2239.0,219.0,152.0,140
0.4374,4.781445026397705,192.0,695.0,367.0,522.0,196.0,297.0,122.0,2239.0,219.0,152.0,145
0.4392,4.8928375244140625,192.0,695.0,367.0,522.0,196.0,297.0,122.0,2239.0,219.0,152.0,150
0.4385,4.912611484527588,192.0,695.0,367.0,522.0,196.0,297.0,122.0,2239.0,219.0,152.0,155
0.4393,4.814143419265747,192.0,695.0,367.0,522.0,196.0,297.0,122.0,2239.0,219.0,152.0,160
0.4395,4.749693393707275,192.0,695.0,367.0,522.0,196.0,297.0,122.0,2239.0,219.0,152.0,165
0.4394,4.809134483337402,192.0,695.0,367.0,522.0,196.0,297.0,122.0,2239.0,219.0,152.0,170
0.4401,4.7684714794158936,192.0,695.0,367.0,522.0,196.0,297.0,122.0,2239.0,219.0,152.0,175
0.4395,4.767332077026367,192.0,695.0,367.0,522.0,196.0,297.0,122.0,2239.0,219.0,152.0,180
0.4392,4.842714071273804,192.0,695.0,367.0,522.0,196.0,297.0,122.0,2239.0,219.0,152.0,185
0.4395,4.744259595870972,192.0,695.0,367.0,522.0,196.0,297.0,122.0,2239.0,219.0,152.0,190
0.4388,4.870608568191528,192.0,695.0,367.0,522.0,196.0,297.0,122.0,2239.0,219.0,152.0,195
0.1,0.9184777736663818,192.0,695.0,367.0,522.0,196.0,297.0,122.0,2239.0,219.0,152.0,0
0.2415,4.8251307010650635,192.0,695.0,367.0,522.0,196.0,297.0,122.0,2239.0,219.0,152.0,5
0.2579,4.769227504730225,192.0,695.0,367.0,522.0,196.0,297.0,122.0,2239.0,219.0,152.0,10
0.3048,4.684857368469238,192.0,695.0,367.0,522.0,196.0,297.0,122.0,2239.0,219.0,152.0,15
